Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
42516033,Arrow of God (African Writers Series),Chinua Achebe,"Achebe, Chinua",,"=""0435903160""","=""9780435903169""",0,3.81,Heinemann Educational Publishers,Paperback,293,,1964,,2020/05/01,to-read,to-read (#337),to-read,,,,0,,,0,,,,,
2283888,Twentieth-Century Caribbean and Black African Writers: Second Series (Dictionary of Literary Biography),Reinhard W. Sander,"Sander, Reinhard W.",,"=""0810353849""","=""9780810353848""",0,4.00,Gale Cengage,Hardcover,443,1993,1993,,2020/05/01,to-read,to-read (#336),to-read,,,,0,,,0,,,,,
19933220,Sea Never Dry (Real African Writers Series),Pusch Komiete Commey,"Commey, Pusch Komiete",,"=""""","=""""",0,0.0,BookBaby,Kindle Edition,22,2012,2012,,2020/05/01,to-read,to-read (#335),to-read,,,,0,,,0,,,,,
19955403,Tofi and the Rainbow Fish (Real African Writers Series),Pusch Commey,"Commey, Pusch",,"=""""","=""""",0,0.0,BookBaby,Kindle Edition,38,2012,2012,,2020/05/01,to-read,to-read (#334),to-read,,,,0,,,0,,,,,
19677642,A Simple Lust: Collected Poems of South African Jail & Exile including Letters to Martha (African Writers Series),Dennis Brutus,"Brutus, Dennis",,"=""""","=""""",0,4.19,Heinemann (Txt),Paperback,192,1973,1973,,2020/05/01,to-read,to-read (#334),to-read,,,,0,,,0,,,,,
21307537,How Shall We Kill the Bishop and other Stories (Heinemann African Writers Series),Lily Mabura,"Mabura, Lily",,"=""""","=""""",0,3.83,Heinemann,Kindle Edition,104,2013,2012,,2020/05/01,to-read,to-read (#333),to-read,,,,0,,,0,,,,,
5778086,Frightened Thief (Junior African Writers Series),Amu Djoleto,"Djoleto, Amu",Amu Djolete,"=""0791029026""","=""9780791029022""",0,4.50,Chelsea House Publications,Paperback,30,1994,1992,,2020/05/01,to-read,to-read (#332),to-read,,,,0,,,0,,,,,
21470018,Labyrinths (Heinemann African Writers Series),Christopher Okigbo,"Okigbo, Christopher",,"=""""","=""""",0,4.00,Heinemann,Kindle Edition,96,2013,1971,,2020/05/01,to-read,to-read (#331),to-read,,,,0,,,0,,,,,
3269803,Serowe: Village of the Rain Wind (Heinemann African Writers Series),Bessie Head,"Head, Bessie",,"=""0435902733""","=""9780435902735""",0,4.19,Heinemann,Paperback,245,2008,1981,,2020/05/01,to-read,to-read (#330),to-read,,,,0,,,0,,,,,
2784326,In the Fog of the Seasons' End (African Writers Series),Alex La Guma,"Guma, Alex La",,"=""0435901109""","=""9780435901103""",0,3.68,Heinemann International Literature & Textbooks,Paperback,192,1992,1973,,2020/05/01,to-read,to-read (#329),to-read,,,,0,,,0,,,,,
